name,year,temparature
Geita, 2002 ,23.2716395355
Geita, 2001 ,23.0295568768
Geita, 2000 ,22.8966405185
Simiyu, 2016 ,22.9298726237
Simiyu, 2015 ,22.4976188219
Simiyu, 2014 ,22.6027121452
Simiyu, 2013 ,22.4420914304
Simiyu, 2012 ,22.6105966243
Simiyu, 2011 ,22.34469426
Simiyu, 2010 ,22.6734982205
Simiyu, 2009 ,22.6943308431
Simiyu, 2008 ,22.0283893606
Simiyu, 2007 ,22.1907293441
Simiyu, 2006 ,22.3768190808
Simiyu, 2005 ,22.928918409
Simiyu, 2004 ,22.689427842
Simiyu, 2003 ,22.9319712672
Simiyu, 2002 ,22.7252719876
Simiyu, 2001 ,22.4042602346
Simiyu, 2000 ,22.3775348082
Mwanza, 2016 ,23.5621416842
Mwanza, 2015 ,23.1141090349
Mwanza, 2014 ,23.1919919868
Mwanza, 2013 ,23.0773778268
Mwanza, 2012 ,23.2197049081
Mwanza, 2011 ,22.998662706
Mwanza, 2010 ,23.3732654487
Mwanza, 2009 ,23.4813543722
Mwanza, 2008 ,22.7984873858
Mwanza, 2007 ,22.9404381352
Mwanza, 2006 ,23.0952690554
Mwanza, 2005 ,23.7144134381
Mwanza, 2004 ,23.4907414699
Mwanza, 2003 ,23.679118003
Mwanza, 2002 ,23.5018927294
Mwanza, 2001 ,23.1943419009
Mwanza, 2000 ,23.0731447769
Shinyanga, 2016 ,23.6971309475
Shinyanga, 2015 ,23.2838769505
Shinyanga, 2014 ,23.4255441749
Shinyanga, 2013 ,23.261640783
Shinyanga, 2012 ,23.3560388874
Shinyanga, 2011 ,23.0899210568
Shinyanga, 2010 ,23.4900605355
Shinyanga, 2009 ,23.4668524542
Shinyanga, 2008 ,22.8323432449
Shinyanga, 2007 ,23.0323900069
Shinyanga, 2006 ,23.1573549061
Shinyanga, 2005 ,23.8489787909
Shinyanga, 2004 ,23.5316367087
Shinyanga, 2003 ,23.7950924668
Shinyanga, 2002 ,23.5459722044
Shinyanga, 2001 ,23.3088091327
Shinyanga, 2000 ,23.2510737081
